51.0501 3.71672
51.0503 3.71549
51.0504 3.71108
51.0506 3.71087
51.0505 3.71001
51.0505 3.70991
51.0513 3.70598
51.0511 3.70517
51.0521 3.70418
51.0519 3.70344
51.0523 3.70324
51.0515 3.70123
51.0524 3.7
51.0526 3.69996
51.0527 3.69976
51.0525 3.69937
51.0531 3.69856
51.0532 3.69865
51.0537 3.69812
51.0537 3.69806
51.0533 3.69725
51.0541 3.6945
51.0545 3.69404
51.0551 3.69346
51.0559 3.69317
51.0535 3.66694
51.0536 3.66708
51.0543 3.66182
51.0527 3.65666
51.0531 3.6547
51.0522 3.65295
51.0509 3.65002
51.0507 3.6397
51.0515 3.64116
51.0528 3.63595
51.0582 3.62846
51.0561 3.61891
51.0571 3.61159
51.0571 3.61141
51.0587 3.60334
51.0605 3.59536
51.0654 3.58178
51.0647 3.57611
51.0647 3.57614
51.0654 3.5733
51.0662 3.56951
51.0704 3.54938
51.0702 3.5478
51.0701 3.54782
51.0663 3.54216
51.0662 3.53889
51.0672 3.53786
51.0666 3.53549
51.0666 3.52186
51.0642 3.51217
51.0613 3.51215
51.0614 3.51052
51.055 3.49881
51.0625 3.47234
51.0607 3.46765
51.0596 3.45773
51.0595 3.45775
51.0594 3.45752
51.0594 3.45753
51.0579 3.45196
51.0611 3.43619
51.0561 3.41933
51.0563 3.41913
51.0555 3.41796
51.0552 3.41554
51.054 3.41553
51.0512 3.41207
51.0478 3.40734
51.0437 3.40149
51.0436 3.40127
51.0423 3.40189
51.0417 3.39776
51.0413 3.39709
51.0398 3.39466
51.0392 3.39516
51.0383 3.39312
51.0376 3.39195
51.0374 3.39212
51.0367 3.3916
51.035 3.39079
51.0331 3.38657
51.0336 3.38632
