type	latitude	longitude	altitude (m)	name
T	50.034253000	4.319139000	251.6	
T	50.032458000	4.317875000	244.5	
T	50.027703000	4.319608000	259.5	
T	50.020158000	4.319804000	280.6	
T	49.983774000	4.345497000	328.0	
T	49.969506000	4.351376000	325.0	
T	49.953470000	4.348235000	323.0	
T	49.953495000	4.347757000	323.4	
T	49.898278000	4.343982000	294.7	
T	49.871265000	4.353021000	284.8	
T	49.871277000	4.353218000	285.2	
T	49.864843000	4.355703000	282.9	
T	49.862320000	4.357424000	285.6	
T	49.861356000	4.356951000	286.1	
T	49.829830000	4.355739000	258.3	
T	49.829344000	4.355491000	261.5	
T	49.828982000	4.354315000	261.3	
T	49.826812000	4.355670000	256.2	
T	49.776305000	4.358847000	264.7	
T	49.770904000	4.343048000	214.8	
T	49.770547000	4.343231000	214.4	
T	49.766744000	4.340546000	233.6	
T	49.754684000	4.339743000	270.3	
T	49.754012000	4.334996000	276.5	
T	49.736492000	4.325579000	196.7	
T	49.735436000	4.337327000	228.2	
T	49.728369000	4.341577000	217.4	
T	49.728196000	4.341582000	217.0	
T	49.714929000	4.361132000	226.9	
T	49.697457000	4.372008000	194.8	
T	49.688658000	4.362076000	216.0	
T	49.686272000	4.361309000	221.0	
T	49.683832000	4.365584000	209.0	
T	49.670812000	4.377385000	138.5	
T	49.669436000	4.376718000	125.7	
T	49.668849000	4.377500000	117.1	
T	49.668284000	4.378725000	119.8	
T	49.652374000	4.382752000	156.8	
T	49.640773000	4.387340000	164.0	
T	49.641511000	4.390625000	146.5	
T	49.621042000	4.391865000	125.9	
T	49.614302000	4.401225000	108.4	
T	49.603572000	4.419756000	120.0	
T	49.599946000	4.422867000	117.5	
T	49.599970000	4.423679000	113.5	
T	49.599047000	4.424384000	110.4	
T	49.596706000	4.425592000	100.0	
T	49.593056000	4.425846000	93.0	
T	49.587449000	4.430918000	102.2	
T	49.578291000	4.443366000	95.0	
T	49.538494000	4.443127000	98.7	
T	49.533061000	4.449866000	86.0	
T	49.507328000	4.437049000	75.0	
T	49.504176000	4.430510000	76.8	
T	49.483923000	4.422962000	86.7	
T	49.483641000	4.421828000	92.7	
T	49.481765000	4.421033000	107.8	
T	49.470608000	4.409049000	82.5	
T	49.470585000	4.410688000	84.8	
T	49.460014000	4.418134000	128.7	
T	49.452191000	4.423779000	147.7	
T	49.430191000	4.417916000	110.6	
T	49.428962000	4.422649000	106.0	
T	49.429002000	4.422750000	106.0	
T	49.398803000	4.425689000	98.4	
T	49.398817000	4.426347000	97.8	
T	49.371988000	4.427506000	121.9	
T	49.371356000	4.433386000	123.9	
T	49.350283000	4.465864000	140.1	
T	49.347703000	4.468967000	139.6	
T	49.281265000	4.511550000	180.3	
T	49.280417000	4.499784000	163.1	
T	49.274115000	4.499752000	154.8	
T	49.243161000	4.499832000	150.7	
T	49.239975000	4.501196000	128.8	
T	49.238811000	4.501769000	122.7	
T	49.207151000	4.509024000	166.1	
T	49.207550000	4.519682000	169.5	
T	49.203374000	4.519450000	165.1	
T	49.203019000	4.520271000	163.1	
T	49.183483000	4.544657000	133.2	
T	49.181955000	4.542751000	135.0	
T	49.180951000	4.543074000	138.6	
T	49.178536000	4.544827000	147.6	
T	49.165644000	4.541773000	143.2	
T	49.157546000	4.540052000	155.0	
T	49.141086000	4.536001000	136.1	
T	49.141042000	4.536153000	136.4	
T	49.132722000	4.534131000	139.0	
T	49.131483000	4.536399000	136.4	
T	49.131172000	4.536405000	136.8	
T	49.129932000	4.535106000	134.3	
T	49.129220000	4.534157000	134.8	
T	49.128357000	4.532855000	135.0	
T	49.127052000	4.534484000	136.0	
T	49.125922000	4.533953000	134.3	
T	49.123686000	4.535050000	135.2	
T	49.122642000	4.536022000	135.8	
T	49.110478000	4.527046000	141.3	
T	49.090195000	4.515139000	153.9	
T	49.064326000	4.537564000	141.0	
T	49.062910000	4.538434000	137.1	
T	49.062960000	4.539365000	136.7	
T	49.062632000	4.539363000	135.5	
T	49.060692000	4.539964000	134.0	
T	49.039423000	4.539603000	140.0	
T	49.030314000	4.533988000	148.5	
T	49.028443000	4.536503000	153.2	
T	49.027709000	4.537795000	154.8	
T	49.019479000	4.551653000	158.9	
T	49.001096000	4.551541000	165.0	
T	48.989529000	4.552564000	143.2	
T	48.987975000	4.555068000	145.0	
T	48.988857000	4.565199000	146.7	
T	48.967037000	4.575252000	174.0	
T	48.959704000	4.581359000	182.0	
T	48.930786000	4.599040000	175.6	
T	48.918427000	4.613740000	122.6	
T	48.918992000	4.620456000	150.4	
T	48.911416000	4.627922000	118.2	
T	48.911245000	4.627139000	117.0	
T	48.910490000	4.627125000	112.4	
T	48.910070000	4.628120000	112.3	
T	48.863679000	4.633393000	189.0	
T	48.820123000	4.598013000	149.3	
T	48.813343000	4.599536000	110.0	
T	48.811493000	4.598218000	103.6	
T	48.809543000	4.604580000	106.5	
T	48.807925000	4.607586000	107.9	
T	48.804219000	4.606814000	117.5	
T	48.794493000	4.619123000	122.8	
T	48.792151000	4.620882000	117.2	
T	48.788915000	4.616902000	123.8	
T	48.751867000	4.627443000	121.8	
T	48.750962000	4.626976000	118.3	
T	48.750760000	4.627772000	117.2	
T	48.746658000	4.626185000	98.0	
T	48.745036000	4.626756000	97.1	
T	48.741551000	4.634802000	99.0	
T	48.739035000	4.634947000	97.8	
T	48.739106000	4.635991000	98.4	
T	48.732333000	4.639513000	102.4	
T	48.731770000	4.647215000	100.0	
T	48.722369000	4.650926000	105.8	
T	48.722462000	4.649099000	106.0	
T	48.720817000	4.655167000	107.9	
T	48.718069000	4.657436000	109.0	
T	48.710832000	4.659396000	112.0	
T	48.710193000	4.660203000	113.0	
T	48.707865000	4.659294000	113.8	
T	48.706658000	4.660293000	116.9	
T	48.706526000	4.660673000	116.7	
T	48.706505000	4.661656000	118.0	
T	48.706706000	4.662218000	117.2	
T	48.705610000	4.662993000	118.0	
T	48.704870000	4.663632000	120.6	
T	48.702886000	4.670677000	122.7	
T	48.702578000	4.670925000	121.7	
T	48.641831000	4.904258000	134.0	
T	48.641147000	4.903730000	135.5	
T	48.641223000	4.948843000	142.0	
T	48.641246000	4.949178000	143.0	
T	48.641800000	4.949433000	144.0	
T	48.639631000	4.954374000	143.8	
T	48.636050000	4.964415000	146.2	
T	48.635833000	4.965130000	147.5	
T	48.635797000	4.964459000	146.9	
T	48.635027000	4.965490000	144.8	
T	48.618973000	5.004017000	150.3	
T	48.615379000	5.011401000	150.0	
T	48.613078000	5.023309000	151.8	
T	48.612940000	5.024708000	151.5	
T	48.609061000	5.043655000	153.0	
T	48.606380000	5.041076000	152.0	
T	48.569305000	5.044450000	159.0	
T	48.469502000	5.137398000	178.8	
T	48.459066000	5.140097000	177.3	
T	48.459042000	5.140622000	178.0	
T	48.456292000	5.129585000	244.4	
T	48.449075000	5.138726000	229.0	
T	48.444863000	5.137225000	190.5	
T	48.444818000	5.139182000	184.0	
T	48.444066000	5.139551000	182.8	
T	48.443574000	5.141363000	185.1	
T	48.442703000	5.141698000	186.8	
T	48.442881000	5.144158000	183.0	
T	48.376321000	5.161588000	194.9	
T	48.375311000	5.161315000	194.2	
T	48.367307000	5.150156000	196.7	
T	48.356266000	5.151524000	196.5	
T	48.355243000	5.142941000	200.1	
T	48.339623000	5.140461000	203.0	
T	48.339248000	5.140871000	204.8	
T	48.330552000	5.144270000	219.7	
T	48.321761000	5.146471000	204.7	
T	48.302200000	5.147086000	213.0	
T	48.302264000	5.147889000	218.9	
T	48.292787000	5.154470000	216.0	
T	48.292693000	5.153977000	217.7	
T	48.267853000	5.137944000	219.9	
T	48.267881000	5.138393000	221.3	
T	48.155446000	5.138613000	244.4	
T	48.141069000	5.137763000	247.2	
T	48.142185000	5.137793000	257.9	
T	48.138874000	5.133198000	256.5	
T	48.130638000	5.132769000	256.9	
T	48.121285000	5.137707000	305.5	
T	48.114714000	5.140551000	320.0	
T	48.113158000	5.141259000	321.8	
T	48.111267000	5.139788000	321.9	
T	48.109664000	5.143256000	322.9	
T	48.109378000	5.144162000	326.0	
T	48.108549000	5.142277000	325.0	
T	48.103969000	5.146131000	334.6	
T	48.103303000	5.144280000	336.4	
T	48.101791000	5.144631000	337.0	
T	48.101866000	5.144763000	336.2	
T	48.093461000	5.151237000	306.9	
T	48.092126000	5.155669000	266.4	
T	48.089936000	5.151500000	267.1	
T	48.078238000	5.162589000	289.5	
T	48.072961000	5.169954000	280.8	
T	48.068631000	5.174177000	278.0	
T	48.068461000	5.178088000	274.2	
T	48.069639000	5.184168000	273.3	
T	48.069783000	5.185034000	274.1	
T	48.068844000	5.185814000	275.7	
T	48.058495000	5.186832000	283.8	
T	48.056862000	5.186379000	292.5	
T	48.041678000	5.211712000	285.0	
T	48.041195000	5.211654000	287.4	
T	48.039285000	5.215061000	287.7	
T	48.037771000	5.215787000	295.0	
T	48.010378000	5.247869000	308.0	
T	48.012460000	5.249445000	293.1	
T	47.999668000	5.262754000	296.9	
T	47.990317000	5.266938000	298.0	
T	47.951284000	5.286459000	306.5	
T	47.947862000	5.288765000	307.0	
T	47.903451000	5.313361000	325.3	
T	47.884804000	5.335056000	329.0	
T	47.879973000	5.341588000	332.6	
T	47.879432000	5.340920000	333.7	
T	47.878199000	5.340148000	333.0	
T	47.877880000	5.341541000	331.3	
T	47.871902000	5.337833000	376.2	
T	47.871554000	5.338058000	379.8	
T	47.870493000	5.340102000	379.7	
T	47.866452000	5.343090000	375.0	
T	47.864012000	5.338593000	425.2	
T	47.858389000	5.335069000	458.4	
T	47.857453000	5.335083000	452.7	
T	47.852873000	5.335970000	461.3	
T	47.845900000	5.336323000	476.1	
T	47.838476000	5.334164000	454.0	
T	47.831074000	5.330443000	449.4	
T	47.831059000	5.329450000	449.0	
T	47.831035000	5.328959000	448.5	
T	47.768666000	5.310069000	321.1	
T	47.765466000	5.309623000	318.9	
T	47.762243000	5.308724000	315.1	
T	47.702231000	5.294685000	320.7	
T	47.700249000	5.293924000	317.3	
T	47.699560000	5.293621000	320.9	
T	47.697435000	5.292580000	318.6	
T	47.695037000	5.292460000	319.1	
T	47.686290000	5.293143000	293.2	
T	47.683268000	5.293484000	299.9	
T	47.679059000	5.297792000	294.0	
T	47.679071000	5.298018000	293.7	
T	47.668985000	5.310184000	290.0	
T	47.666778000	5.308629000	301.2	
T	47.666491000	5.308033000	294.6	
T	47.663157000	5.309753000	272.0	
T	47.649652000	5.328047000	272.5	
