type	latitude	longitude	altitude (m)	name
T	46.207531000	6.143220000	389.1	
T	46.207335000	6.143473000	385.4	
T	46.206564000	6.142402000	390.8	
T	46.206176000	6.142662000	385.4	
T	46.205597000	6.143047000	380.4	
T	46.205313000	6.142800000	374.9	
T	46.204398000	6.143215000	378.0	
T	46.204306000	6.142646000	377.5	
T	46.204104000	6.141180000	376.4	
T	46.202722000	6.141381000	386.2	
T	46.201187000	6.142633000	383.5	
T	46.201227000	6.142766000	383.8	
T	46.200768000	6.143102000	380.4	
T	46.199648000	6.142982000	380.9	
T	46.198160000	6.142763000	385.7	
T	46.198150000	6.142131000	382.0	
T	46.193036000	6.138792000	378.5	
T	46.190811000	6.139894000	379.6	
T	46.186566000	6.139915000	381.1	
T	46.183310000	6.141320000	386.6	
T	46.180153000	6.139313000	386.0	
T	46.179677000	6.139043000	389.3	
T	46.175229000	6.138297000	414.2	
T	46.174336000	6.138335000	409.2	
T	46.171780000	6.137715000	408.8	
T	46.171735000	6.137564000	407.3	
T	46.170841000	6.135724000	411.6	
T	46.165472000	6.131057000	419.8	
T	46.157612000	6.126043000	457.9	
T	46.157153000	6.125510000	458.6	
T	46.155838000	6.129469000	463.0	
T	46.148383000	6.129334000	474.0	
T	46.148124000	6.130104000	474.5	
T	46.145035000	6.128561000	486.9	
T	46.142618000	6.133389000	486.2	
T	46.141442000	6.132113000	483.6	
T	46.140659000	6.131332000	480.9	
T	46.140398000	6.131435000	481.6	
T	46.138821000	6.128518000	489.6	
T	46.138760000	6.128436000	490.2	
T	46.133921000	6.125155000	512.1	
T	46.133748000	6.124634000	513.0	
T	46.115686000	6.108235000	577.8	
T	46.110005000	6.106021000	603.6	
T	46.104113000	6.105050000	645.2	
T	46.100134000	6.104058000	645.8	
T	46.099635000	6.103665000	647.1	
T	46.093781000	6.101973000	665.1	
T	46.093787000	6.102059000	665.4	
T	46.093096000	6.102330000	669.1	
T	46.088858000	6.097994000	671.7	
T	46.081078000	6.092011000	711.5	
T	46.079883000	6.089880000	744.1	
T	46.074281000	6.086888000	788.3	
T	46.065052000	6.088671000	863.5	
T	46.054782000	6.089423000	796.9	
T	46.050644000	6.088920000	761.1	
T	46.047452000	6.090351000	737.9	
T	46.043170000	6.096921000	749.0	
T	46.042873000	6.096811000	742.9	
T	46.042947000	6.096355000	741.3	
T	46.036045000	6.107954000	777.8	
T	46.035181000	6.108771000	774.6	
T	46.032725000	6.106688000	785.3	
T	46.027653000	6.104792000	759.6	
T	46.026007000	6.102264000	762.5	
T	46.014751000	6.111236000	670.8	
T	46.015171000	6.112195000	664.6	
T	46.013865000	6.111574000	663.3	
T	46.013052000	6.111826000	653.0	
T	46.010660000	6.112110000	658.4	
T	46.005273000	6.119154000	640.2	
T	46.000762000	6.121850000	636.5	
T	45.999070000	6.121677000	643.6	
T	45.998892000	6.120407000	642.5	
T	45.983635000	6.127055000	624.2	
T	45.982392000	6.125996000	627.8	
T	45.966019000	6.122714000	609.1	
T	45.960906000	6.120620000	574.7	
T	45.954036000	6.112008000	514.1	
T	45.952390000	6.115781000	494.8	
T	45.948155000	6.116946000	500.4	
T	45.948126000	6.116927000	500.3	
T	45.946731000	6.118715000	495.5	
T	45.943567000	6.122184000	482.9	
T	45.942053000	6.123074000	482.1	
T	45.940129000	6.122546000	481.2	
T	45.937869000	6.123903000	482.7	
T	45.936446000	6.125792000	483.0	
T	45.934331000	6.127260000	462.2	
T	45.933374000	6.128244000	455.7	
T	45.933350000	6.128258000	455.6	
T	45.933266000	6.128267000	454.7	
T	45.930652000	6.124597000	461.3	
T	45.930470000	6.124140000	457.3	
T	45.928111000	6.125875000	468.7	
T	45.927618000	6.126022000	467.1	
T	45.922223000	6.125538000	463.9	
T	45.919458000	6.125619000	464.1	
T	45.919021000	6.126749000	465.1	
T	45.917888000	6.127528000	463.8	
T	45.916562000	6.128438000	458.8	
T	45.916187000	6.128601000	459.0	
T	45.914860000	6.129579000	457.7	
T	45.913829000	6.128234000	459.3	
T	45.912630000	6.128474000	457.0	
T	45.911933000	6.127882000	456.0	
T	45.911878000	6.127848000	455.9	
T	45.909223000	6.126382000	454.0	
T	45.907609000	6.128608000	452.6	
T	45.907589000	6.128609000	452.7	
T	45.907127000	6.129496000	454.2	
T	45.906759000	6.129086000	453.2	
T	45.906142000	6.129009000	452.8	
T	45.904448000	6.129908000	453.0	
T	45.904110000	6.128777000	454.8	
T	45.902516000	6.129764000	450.8	
T	45.902084000	6.128905000	453.4	
T	45.902013000	6.128749000	454.8	
T	45.901586000	6.129064000	453.4	
T	45.900949000	6.127511000	454.0	
T	45.897243000	6.131236000	450.5	
T	45.896789000	6.131521000	451.6	
T	45.895707000	6.132952000	452.4	
T	45.894393000	6.134592000	455.2	
T	45.832514000	6.171444000	461.2	
T	45.826970000	6.204386000	478.1	
T	45.826524000	6.206585000	474.0	
T	45.764820000	6.250020000	477.2	
T	45.765802000	6.263171000	492.8	
T	45.753838000	6.286810000	506.0	
T	45.747971000	6.290420000	514.3	
T	45.746226000	6.294578000	519.7	
T	45.744736000	6.296038000	525.2	
T	45.744023000	6.296061000	529.3	
T	45.742855000	6.296877000	557.7	
T	45.741692000	6.296773000	559.9	
T	45.736479000	6.300106000	554.1	
T	45.732653000	6.309385000	646.8	
T	45.732024000	6.309663000	653.4	
T	45.729098000	6.310767000	676.1	
T	45.714044000	6.315121000	830.3	
T	45.712869000	6.316133000	844.1	
T	45.710183000	6.315994000	863.6	
T	45.700700000	6.309203000	780.7	
T	45.693179000	6.307838000	820.4	
T	45.670247000	6.307925000	912.8	
T	45.670007000	6.309241000	918.7	
T	45.665465000	6.314703000	623.4	
T	45.665254000	6.315588000	608.8	
T	45.665121000	6.315602000	607.5	
T	45.664996000	6.316016000	597.3	
T	45.660855000	6.310497000	596.3	
T	45.656145000	6.318632000	496.8	
T	45.654347000	6.317479000	495.8	
T	45.652729000	6.314880000	491.2	
T	45.642523000	6.306449000	414.3	
T	45.638740000	6.305546000	374.9	
T	45.635851000	6.305947000	355.0	
T	45.633424000	6.301351000	351.3	
T	45.624058000	6.289427000	359.1	
T	45.620236000	6.284206000	362.4	
T	45.614456000	6.285890000	318.0	
T	45.614368000	6.286659000	315.2	
T	45.611550000	6.290750000	309.9	
T	45.584452000	6.269540000	300.6	
T	45.581947000	6.274087000	302.4	
T	45.566733000	6.254148000	298.2	
T	45.566692000	6.254210000	299.3	
T	45.562560000	6.251328000	303.4	
T	45.562618000	6.251100000	302.4	
T	45.557409000	6.252629000	306.0	
T	45.555869000	6.255726000	307.0	
T	45.555653000	6.255881000	308.6	
T	45.555949000	6.257217000	309.0	
T	45.541269000	6.306768000	327.8	
T	45.537311000	6.307619000	357.8	
T	45.529913000	6.309212000	326.5	
T	45.520832000	6.311227000	334.4	
T	45.519813000	6.312372000	334.7	
T	45.519861000	6.312576000	334.5	
T	45.501610000	6.304415000	338.0	
T	45.499618000	6.307829000	343.8	
T	45.492351000	6.306462000	351.0	
T	45.486751000	6.302154000	348.8	
T	45.487412000	6.299305000	347.3	
T	45.473554000	6.293519000	357.3	
T	45.470841000	6.290836000	357.0	
T	45.461907000	6.292414000	362.8	
T	45.458206000	6.292604000	366.0	
T	45.362924000	6.287234000	439.0	
T	45.358893000	6.290073000	440.3	
T	45.348597000	6.305808000	448.8	
T	45.348119000	6.306147000	449.0	
T	45.266366000	6.383472000	563.4	
T	45.266330000	6.384596000	580.9	
T	45.263950000	6.386937000	599.9	
T	45.257066000	6.396805000	652.4	
T	45.257155000	6.397494000	657.0	
T	45.256487000	6.402057000	672.9	
T	45.255575000	6.407923000	657.5	
T	45.255429000	6.411675000	678.5	
T	45.254580000	6.412870000	681.1	
T	45.254829000	6.413610000	693.4	
T	45.244355000	6.430941000	676.8	
T	45.232904000	6.445229000	689.2	
T	45.230257000	6.448830000	687.7	
T	45.220483000	6.460449000	697.5	
T	45.219870000	6.464694000	704.0	
T	45.219131000	6.469438000	709.0	
T	45.219385000	6.469758000	708.6	
T	45.219355000	6.470544000	712.6	
T	45.215853000	6.475126000	718.4	
T	45.208253000	6.468600000	874.4	
T	45.207586000	6.473763000	899.1	
T	45.206522000	6.474267000	940.3	
T	45.200847000	6.475902000	1183.6	
T	45.200721000	6.476399000	1201.0	
T	45.199416000	6.480315000	1300.1	
T	45.199202000	6.481167000	1325.1	
T	45.190148000	6.478899000	1475.4	
T	45.187660000	6.479982000	1519.7	
T	45.188091000	6.480441000	1523.0	
T	45.185725000	6.480811000	1543.7	
T	45.182952000	6.482308000	1547.2	
T	45.172301000	6.489093000	1663.7	
T	45.159585000	6.494345000	1788.5	
T	45.135777000	6.508063000	2178.6	
T	45.130727000	6.513075000	2167.9	
T	45.119011000	6.533365000	2398.6	
T	45.109413000	6.558130000	2850.0	
T	45.109174000	6.561641000	2938.4	
T	45.083987000	6.532671000	2491.9	
T	45.083005000	6.525363000	2457.2	
T	45.059339000	6.525573000	2023.6	
T	45.023564000	6.565289000	1814.7	
T	45.023985000	6.564508000	1811.7	
T	45.023088000	6.564694000	1816.9	
T	45.013938000	6.569574000	2043.8	
T	45.012641000	6.570919000	2064.0	
T	45.013142000	6.571862000	2042.0	
T	45.004950000	6.597066000	2106.4	
T	44.994918000	6.591641000	2250.0	
T	44.981897000	6.587826000	2472.5	
T	44.981444000	6.588301000	2466.3	
T	44.977223000	6.586839000	2357.4	
T	44.975922000	6.586487000	2339.7	
T	44.970083000	6.584203000	2211.6	
T	44.969535000	6.583012000	2199.0	
T	44.968766000	6.583498000	2181.3	
T	44.968338000	6.584262000	2175.8	
T	44.967831000	6.584844000	2175.6	
T	44.967206000	6.585619000	2175.0	
T	44.954936000	6.592998000	2004.6	
T	44.952588000	6.593930000	1965.3	
T	44.952483000	6.593019000	1957.4	
T	44.951569000	6.590263000	1916.9	
T	44.945310000	6.591778000	1778.0	
T	44.943056000	6.592801000	1691.0	
T	44.940030000	6.594942000	1574.4	
T	44.938289000	6.596865000	1501.1	
T	44.935690000	6.593771000	1431.4	
T	44.935626000	6.593858000	1431.0	
T	44.930283000	6.596399000	1366.9	
T	44.927842000	6.603477000	1356.1	
T	44.926769000	6.605804000	1345.8	
T	44.925792000	6.607539000	1354.0	
T	44.922774000	6.611921000	1340.8	
T	44.922605000	6.612090000	1338.5	
T	44.917214000	6.619026000	1315.9	
T	44.916252000	6.620640000	1307.0	
T	44.914784000	6.622775000	1322.6	
T	44.914438000	6.622204000	1314.7	
T	44.911210000	6.624221000	1298.9	
T	44.907333000	6.627625000	1279.5	
T	44.906189000	6.629023000	1270.5	
T	44.905617000	6.629326000	1267.1	
T	44.905622000	6.629690000	1269.2	
T	44.905434000	6.629998000	1268.4	
T	44.904253000	6.630241000	1253.9	
T	44.903579000	6.630150000	1249.6	
T	44.903418000	6.630133000	1250.2	
T	44.902726000	6.631156000	1243.0	
T	44.900124000	6.631358000	1231.5	
T	44.895392000	6.631539000	1209.9	
T	44.894698000	6.630139000	1209.8	
T	44.881621000	6.621098000	1187.3	
T	44.881384000	6.620840000	1185.0	
T	44.877866000	6.615743000	1187.3	
T	44.878017000	6.615258000	1190.9	
T	44.875971000	6.613205000	1189.1	
T	44.875454000	6.613348000	1185.3	
T	44.872149000	6.609272000	1172.2	
T	44.869160000	6.603032000	1170.1	
T	44.864674000	6.598748000	1175.9	
T	44.864237000	6.597967000	1177.7	
T	44.863002000	6.588859000	1214.3	
T	44.855994000	6.582738000	1191.6	
T	44.855649000	6.581067000	1196.3	
T	44.854155000	6.580262000	1196.7	
T	44.852427000	6.582157000	1164.0	
T	44.832101000	6.583150000	1194.9	
T	44.831209000	6.583169000	1198.5	
T	44.825964000	6.579918000	1225.9	
T	44.800888000	6.566046000	1062.2	
T	44.794194000	6.562527000	1001.6	
T	44.790654000	6.561820000	980.6	
T	44.784657000	6.560678000	992.1	
T	44.782356000	6.560728000	985.5	
T	44.762150000	6.569753000	947.0	
T	44.761054000	6.570819000	944.3	
T	44.760555000	6.571421000	947.1	
T	44.756262000	6.574485000	941.5	
T	44.755993000	6.574630000	942.0	
T	44.754944000	6.575077000	940.0	
T	44.724746000	6.588685000	919.1	
T	44.724592000	6.589455000	919.8	
T	44.721750000	6.592120000	915.9	
T	44.721369000	6.592171000	916.0	
T	44.711213000	6.602301000	910.9	
T	44.710605000	6.603140000	915.0	
T	44.700825000	6.609646000	902.7	
T	44.689861000	6.612802000	929.0	
T	44.681855000	6.623814000	944.5	
T	44.681423000	6.625615000	959.6	
T	44.678299000	6.632479000	1004.2	
T	44.679019000	6.633694000	1022.4	
T	44.676322000	6.634127000	1031.5	
T	44.672955000	6.644501000	934.0	
T	44.660948000	6.649680000	1017.1	
T	44.660210000	6.650696000	1013.4	
T	44.659657000	6.650389000	1007.2	
T	44.658741000	6.650943000	1009.0	
T	44.658501000	6.651379000	1016.3	
T	44.655365000	6.654029000	1049.1	
T	44.655298000	6.654038000	1048.8	
T	44.639899000	6.677429000	1339.3	
T	44.636474000	6.696969000	1604.9	
T	44.636257000	6.696479000	1606.9	
T	44.620958000	6.721083000	1783.8	
T	44.617706000	6.725644000	1807.7	
T	44.606715000	6.724957000	2149.6	
T	44.530632000	6.775689000	1531.2	
T	44.527855000	6.772680000	1512.0	
T	44.525928000	6.774072000	1493.8	
T	44.525977000	6.803175000	1899.3	
T	44.525827000	6.805048000	1905.9	
T	44.524090000	6.808481000	1923.5	
T	44.515442000	6.823998000	2193.6	
T	44.499952000	6.846648000	2513.5	
T	44.494578000	6.850575000	2450.2	
T	44.479327000	6.849981000	2427.4	
T	44.475065000	6.852812000	2548.1	
T	44.451885000	6.847697000	1686.3	
T	44.450890000	6.846484000	1680.1	
T	44.450436000	6.848180000	1684.9	
T	44.418392000	6.885149000	1907.0	
T	44.418144000	6.885170000	1905.9	
T	44.387977000	6.875560000	2136.1	
T	44.386347000	6.874098000	2178.8	
T	44.371121000	6.870367000	2400.7	
T	44.367389000	6.873121000	2436.2	
T	44.356571000	6.880362000	2660.9	
T	44.323550000	6.883412000	1685.6	
T	44.286826000	6.899292000	1347.8	
T	44.255224000	6.928440000	1132.4	
T	44.254898000	6.927679000	1135.7	
T	44.253282000	6.928028000	1146.1	
T	44.252982000	6.928356000	1139.4	
T	44.250721000	6.930932000	1135.7	
T	44.249539000	6.932030000	1118.3	
T	44.239928000	6.944383000	1084.3	
T	44.234286000	6.948526000	1083.5	
T	44.232756000	6.951385000	1071.8	
T	44.225046000	6.961413000	1050.2	
T	44.224361000	6.960872000	1053.8	
T	44.211200000	6.974068000	1016.7	
T	44.211459000	6.974813000	1020.0	
T	44.202492000	6.989732000	998.2	
T	44.195674000	7.007164000	964.1	
T	44.193437000	7.011409000	948.5	
T	44.185158000	7.053060000	863.1	
T	44.184836000	7.054548000	862.2	
T	44.137103000	7.100023000	723.2	
T	44.120013000	7.092093000	651.9	
T	44.090333000	7.107509000	541.2	
T	44.024680000	7.131680000	366.0	
T	44.019508000	7.131640000	357.6	
T	43.976467000	7.140139000	301.7	
T	43.916528000	7.188882000	250.4	
T	43.915257000	7.187263000	201.3	
T	43.908754000	7.188161000	271.4	
T	43.886927000	7.189962000	191.7	
T	43.883224000	7.190542000	166.8	
T	43.882354000	7.190507000	184.7	
T	43.860769000	7.198807000	142.2	
T	43.839651000	7.194913000	119.8	
T	43.839233000	7.194761000	120.1	
T	43.835537000	7.193378000	117.5	
T	43.825055000	7.189598000	116.4	
T	43.824730000	7.189768000	118.6	
T	43.824626000	7.189897000	119.0	
T	43.824206000	7.190060000	116.9	
T	43.821851000	7.192440000	111.1	
T	43.821505000	7.192952000	111.7	
T	43.804499000	7.199695000	108.0	
T	43.802559000	7.202572000	92.6	
T	43.801524000	7.202783000	92.0	
T	43.801985000	7.202922000	92.2	
T	43.799581000	7.206277000	91.4	
T	43.798244000	7.205313000	87.1	
T	43.796584000	7.207269000	84.9	
T	43.791583000	7.216432000	93.8	
T	43.790943000	7.216926000	92.5	
T	43.790520000	7.216239000	84.3	
T	43.786519000	7.218612000	84.4	
T	43.783646000	7.220234000	92.4	
T	43.782014000	7.219826000	94.6	
T	43.777519000	7.225743000	242.6	
T	43.774570000	7.226381000	175.3	
T	43.774324000	7.229971000	251.2	
T	43.773229000	7.232703000	327.2	
T	43.772495000	7.237075000	387.7	
T	43.769883000	7.236433000	365.8	
T	43.767524000	7.235977000	349.3	
T	43.765738000	7.235042000	372.2	
T	43.765282000	7.235455000	367.8	
T	43.749600000	7.236816000	329.5	
T	43.748276000	7.235401000	315.1	
T	43.747592000	7.236657000	286.4	
T	43.746639000	7.236433000	268.0	
T	43.741580000	7.238605000	298.2	
T	43.728175000	7.237938000	274.9	
T	43.724102000	7.239450000	242.8	
T	43.723765000	7.239442000	238.1	
T	43.722202000	7.244843000	176.4	
T	43.715143000	7.246043000	102.0	
T	43.709065000	7.251990000	50.8	
T	43.709364000	7.253781000	42.4	
T	43.708298000	7.254592000	35.2	
T	43.706981000	7.255926000	27.3	
T	43.706986000	7.256050000	27.8	
T	43.706847000	7.256051000	27.1	
T	43.708198000	7.264959000	27.1	
T	43.706870000	7.266741000	22.8	
T	43.706547000	7.266953000	25.9	
T	43.706338000	7.266373000	26.7	
T	43.703952000	7.267860000	22.0	
T	43.703384000	7.266176000	19.6	
T	43.703095000	7.266102000	18.1	
